תודה על השידור,0
יאירה נתניהו משתתפת?? ,1
יא פחי אשפה למה לעשות שידור חי??? ,1
צואה ישראלית,1
פשוט מחליא !,1
איך אתם,?
ותפתח הארץ את פיה ותבלע אותם,1
כולם אוהדי ביתר,1
ריח לא טוב עולה באויר,1
מצעד התועבה,1
סדום ועמורה,1
מה זה,?
מצעד מיותר מה הגאווה פה לא מבין תעשו מה שתעשו בינכם..,1
אללה ווכבר...אל תופתעו...,?
שוטרים שבד"כ שומרים על מתנחלים@@ שומרים עכשיו מפניהם,1
למה,?
היי,?
למה ??????????????,1
מחמם את הלב ומרחיב את הנשמה,0
על מה חרבה ירושלים,1
עם חוק הפונדקאות המעוות - דווקא היום יותר מתמיד !!!!!!!!!,0
מכוערים ומכוערות שמכערים את עיר הקודש ואת העולם כולו,1
מצעד הגאווה,?
כל הכבוד,0
בית המקדש לא נחרב בגלל מצעדי גאווה@@ הוא נחרב בגלל שנאת חינם,0
נו באמת,1
איףףףףף כמה מצעדים וכמה טחינות מח על החבר'ה הגאים,1
לסדום היינו לעמורה דמינו !!!  אבוי לנו !!!!!!!!!!!!!!!!!,1
שטויות כל המצעדים האלה,1
מי מממן את זה????,1
אתה אם הכיפה שם בתמונה,1
יפים@@ עדינים. כישרוניים וטובי לב.,0
בואו נעשה מצעד,?
צועדים לאבדון,1
חסימות,?
תמיכה מלאה מתושבי ירושלים!!!,0
אם הם נורמלים למה ליצעוד חצי ערומים ולעות את הקול.,1
תועבה,1
תחזרו התשובה דחוף,1
הגזמתם. כל שבוע מצעד גאווה....,1
בא נעשה מצעד לכל הגנבים? מי אמר שאסור לגנוב@@ הפנאטים???,1
אילת,?
כל הכבוד!!!! גם ירושלים מצטרפת לערים המובילות בעולם,0
כל כך נמוך ובהמי@@ הטרור הלהטבי מוריד עלינו חושך,1
צודק נגמר הזמן,?
כל כך הרבה שנאה@@ מקרי רצח@@ קנאות@@ השפלת נשים ורוע.,0
ירושלים,?
(אתה לא היחיד),?
קומץ קטן השתלט על השיח הציבורי בחסות התקשרות ובית המשפט,1
זוגות מעורבים@@בני אדם עם כלבים@@עזים@@פרות וחתולים!,1
Passive Agresive,?
המקהלה החרדית מזעזעת בחושך הפרימיטיבי שלה,0
שיהיה בכיף אבל למה להתגרות אני בעד מצעד הגאווה אבל דווקה בירושלים,1
כל הכבוד! ,0
מבוגרים אוהבים צעירים@@ ומבוגרות אוהבות צעירות@@,0
תגידו רק אני מריח ריח של איידס באוויר שם?,1
יישר כוח! אנשי האור ואהבה..,0
ושוב אדם עם סכיו. אין סוף לשנאת החינם כלפי להבטאק,0
ימי סדום ועמורה... זועק השמיימה....אין גבול לטומאה ולטמטום.. ,1
באנו חושך לגרש!!,0
אח יקר,1
מחלה,1
איזה יופי ירושלים בכל המובנים,0
מצטער מגעיל,1
מצעד בהמות,1
איך כתבה כזאת לא זוכה להיות כתבה ראשית אצלכם??,1
למה הם צרכים שמירה,1
חחחח... זה אנשים כמוך שהם פרעה.,?
אנשים יפים תגרשו את החושך של החלאות מהעיר הזאת ומהמדינה,0
ארגון פשיעה,?
אסור להביע דיעה שונה@@אסור לא להסכים@@ חייבים להסכים עם הקהילה,1
מרגש לראות כל כך הרבה אנשים צועדים למען השוויון (: ,0
סובלנות ושוויון,0
מיליונים גם לא מסכימים עם הגאים האלו,1
למה הם מצטטים פסוקים מהתנ"ך,1
כל הכבוד למדינה שלנו! שלמרות דעות שונות,0
ימח שמכם נמאסתם,1
לסדום ועמורה,1
איה נשאת את שמי לשוא@@ חטא גדול חטאת,?
למה צריך להיות מוחצנים? להתנשק בפה?,1
בירושלים יש יותר מחצי מיליון דתיים,1
בעלי נטיות לעז יכולים גם הם להשתתף במצעד?,1
הכל כתוב...מצעד הגאווה ..ביבי על הכוונת..בונייך ומהרסייך...,1
המיותרים על הקצה,?
גלגלת אותה,?
יופי..יאללה תחזרו לתל אביב,1
ישראל חופשית,0
מזל שאין אלוהים 
האבא של שירה בנקי דיבר מקסים!,0
כל אחד,0
עוד פעם?,1
חייב למחות נגד עידוד התופעה הזו,1
אני רק שאלה: בכל העולם מצעד גאווה פעם אחת... בישראל נראה כל,1
עמדה,?
התגובות פה מגעילות,0
מצעד התועבה,1
fake news לא היו שם יותר מאלפיים איש אבל מי סופר.,1
מצעד הגאווה,?
מצעד גאווה אחד@@שווה ערך לפצצת מימן במישור הרוחני...,1
ממש תועבה.אני לא מאמינה שזה אמיתי,1
תגיד שקר מלא פעמים יהפוך לאמת. מצעד התועבה ולא יעזור לכם,1
אורי בנקי פושע,1
מטמאים את עיר הקודש חושבים שמשהו קונה את הסובלנות כלפיהם,1
רפואה שלימה,1
טינופות@@בגללכם חרבה ירושלים.ירידה ערכית של העם,1
אני קורא את התגובות מלאות השנאה וכל כך שמח שצעדתי היום,0
מזועזע,1
אם הייתי יכולה הייתי מגיעה,0
גם חילול שבת זה נגד התורה,0 
יומיים לפני שאמיר גוטמן ז"ל נלקח מעמנו,0
איפה הגאווה בסיפור ? ,1
נמאס כבר שכל פעם חוסמים את הכבישים,1
סדום ועמורה,1
זהו? 25 אלף יאללה תעופו מהמדינה יתועבה,1
אם מחר אחים ואחיות ירצו להתחתן מה יגידו הליברליים ????,1
תמיכה בסטייה לא הופכת אותה לנורמטיבית .. אבא ואמא = משפחה,1
המצעד נועד להזכיר שלכל אחד יש זכות בחירה אבל מי שכבר בחר לא,0
